Date,BNGA.JK,TLKM.JK,ADRO.JK,ANTM.JK
2024-09-06 00:00:00+07:00,1584.934326171875,2818.0419921875,1701.4268798828125,1271.682373046875
2024-09-09 00:00:00+07:00,1580.7523193359375,2808.77197265625,1711.2335205078125,1257.393798828125
2024-09-10 00:00:00+07:00,1630.93505859375,2808.77197265625,1711.2335205078125,1257.393798828125
2024-09-11 00:00:00+07:00,1630.93505859375,2818.0419921875,1725.9432373046875,1252.630859375
2024-09-12 00:00:00+07:00,1635.116943359375,2827.311767578125,1887.7503662109375,1281.2080078125
2024-09-13 00:00:00+07:00,1622.5712890625,2882.930908203125,1799.491943359375,1271.682373046875
2024-09-17 00:00:00+07:00,1614.2073974609375,2864.391357421875,1843.6212158203125,1314.5479736328125
2024-09-18 00:00:00+07:00,1660.2081298828125,2892.200927734375,1789.6854248046875,1300.259521484375
2024-09-19 00:00:00+07:00,1668.572021484375,2910.74072265625,1794.5885009765625,1309.78515625
2024-09-20 00:00:00+07:00,1660.2081298828125,2920.010498046875,1809.2982177734375,1305.0223388671875
2024-09-23 00:00:00+07:00,1664.3900146484375,2938.55029296875,1814.20166015625,1328.8365478515625
2024-09-24 00:00:00+07:00,1668.572021484375,2929.280517578125,1833.8145751953125,1343.1251220703125
2024-09-25 00:00:00+07:00,1618.389404296875,2957.090087890625,1809.2982177734375,1371.7022705078125
2024-09-26 00:00:00+07:00,1614.2073974609375,2938.55029296875,1853.427490234375,1357.4136962890625
2024-09-27 00:00:00+07:00,1601.6617431640625,2827.311767578125,1917.1695556640625,1400.2794189453125
2024-09-30 00:00:00+07:00,1572.388671875,2771.692626953125,1868.137451171875,1409.80517578125
2024-10-01 00:00:00+07:00,1576.5704345703125,2799.502197265625,1922.072998046875,1428.8565673828125
2024-10-02 00:00:00+07:00,1564.0247802734375,2706.803466796875,1897.5570068359375,1462.196533203125
2024-10-03 00:00:00+07:00,1559.843017578125,2678.993896484375,1877.9437255859375,1462.196533203125
2024-10-04 00:00:00+07:00,1547.29736328125,2669.723876953125,1868.137451171875,1452.6707763671875
2024-10-07 00:00:00+07:00,1530.5697021484375,2688.263671875,1907.3634033203125,1471.7222900390625
2024-10-08 00:00:00+07:00,1564.0247802734375,2771.692626953125,1863.2342529296875,1452.6707763671875
2024-10-09 00:00:00+07:00,1576.5704345703125,2743.8828125,1873.04052734375,1443.1451416015625
2024-10-10 00:00:00+07:00,1564.0247802734375,2734.613037109375,1873.04052734375,1462.196533203125
2024-10-11 00:00:00+07:00,1568.2066650390625,2725.34326171875,1897.5570068359375,1490.773681640625
2024-10-14 00:00:00+07:00,1559.843017578125,2688.263671875,1897.5570068359375,1552.6907958984375
2024-10-15 00:00:00+07:00,1580.7523193359375,2725.34326171875,1902.460205078125,1524.1136474609375
2024-10-16 00:00:00+07:00,1618.389404296875,2780.96240234375,1887.7503662109375,1495.5364990234375
2024-10-17 00:00:00+07:00,1597.47998046875,2818.0419921875,1912.2666015625,1543.1650390625
2024-10-18 00:00:00+07:00,1597.47998046875,2873.6611328125,1853.427490234375,1547.927978515625
2024-10-21 00:00:00+07:00,1593.2979736328125,2873.6611328125,1833.8145751953125,1609.8450927734375
2024-10-22 00:00:00+07:00,1597.47998046875,2790.232177734375,1828.91162109375,1590.7935791015625
2024-10-23 00:00:00+07:00,1593.2979736328125,2725.34326171875,1809.2982177734375,1571.7421875
2024-10-24 00:00:00+07:00,1601.6617431640625,2688.263671875,1804.39501953125,1543.1650390625
2024-10-25 00:00:00+07:00,1584.934326171875,2697.533447265625,1794.5885009765625,1509.8250732421875
2024-10-28 00:00:00+07:00,1572.388671875,2706.803466796875,1804.39501953125,1533.639404296875
2024-10-29 00:00:00+07:00,1551.4791259765625,2688.263671875,1779.8787841796875,1538.4022216796875
2024-10-30 00:00:00+07:00,1564.0247802734375,2688.263671875,1784.7822265625,1552.6907958984375
2024-10-31 00:00:00+07:00,1564.0247802734375,2614.104736328125,1774.9755859375,1524.1136474609375
2024-11-01 00:00:00+07:00,1526.387939453125,2577.025146484375,1858.3310546875,1447.907958984375
2024-11-04 00:00:00+07:00,1551.4791259765625,2595.56494140625,1926.976318359375,1452.6707763671875
2024-11-05 00:00:00+07:00,1538.93359375,2567.75537109375,1980.912109375,1500.2994384765625
2024-11-06 00:00:00+07:00,1518.0240478515625,2539.945556640625,1966.202392578125,1466.9593505859375
2024-11-07 00:00:00+07:00,1509.660400390625,2558.4853515625,1922.072998046875,1500.2994384765625
2024-11-08 00:00:00+07:00,1497.1146240234375,2549.215576171875,1877.9437255859375,1509.8250732421875
2024-11-11 00:00:00+07:00,1497.1146240234375,2493.59619140625,1833.8145751953125,1457.4337158203125
2024-11-12 00:00:00+07:00,1492.9327392578125,2410.16748046875,1873.04052734375,1490.773681640625
2024-11-13 00:00:00+07:00,1501.296630859375,2391.627685546875,1922.072998046875,1428.8565673828125
2024-11-14 00:00:00+07:00,1488.7509765625,2345.2783203125,1877.9437255859375,1409.80517578125
2024-11-15 00:00:00+07:00,1492.9327392578125,2354.548095703125,1922.072998046875,1333.5994873046875
2024-11-18 00:00:00+07:00,1480.3870849609375,2400.8974609375,1814.20166015625,1328.8365478515625
2024-11-19 00:00:00+07:00,1480.3870849609375,2577.025146484375,1819.104736328125,1405.042236328125
2024-11-20 00:00:00+07:00,1480.3870849609375,2484.326416015625,1809.2982177734375,1400.2794189453125
2024-11-21 00:00:00+07:00,1455.2958984375,2567.75537109375,1804.39501953125,1419.330810546875
